序号,边数,顶点对数,预处理耗时,计算耗时,总耗时,代价,路径组合
,10,2,0.0181,19.6671,19.6852,70.3927,"6,2_3"
,10,2,0.018,32.3968,32.4148,57.1824,"5_9,3"
,10,2,0.0191,14.8678,14.8869,87.8653,"3_8_1,7"
